experiment_name,backend._target_,backend.name,backend.version,backend.provider,backend.use_io_binding,backend.enable_profiling,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.optimization,backend.optimization_config.optimization_level,backend.optimization_config.optimize_for_gpu,backend.optimization_config.fp16,backend.optimization_config.enable_transformers_specific_optimizations,backend.optimization_config.enable_gelu_approximation,backend.optimization_config.disable_gelu_fusion,backend.optimization_config.disable_layer_norm_fusion,backend.optimization_config.disable_attention_fusion,backend.optimization_config.disable_skip_layer_norm_fusion,backend.optimization_config.disable_bias_skip_layer_norm_fusion,backend.optimization_config.disable_bias_gelu_fusion,backend.optimization_config.use_mask_index,backend.optimization_config.no_attention_mask,backend.optimization_config.disable_embed_layer_norm_fusion,backend.optimization_config.disable_shape_inference,backend.optimization_config.use_multi_head_attention,backend.optimization_config.enable_gemm_fast_gelu_fusion,backend.optimization_config.use_raw_attention_mask,backend.optimization_config.disable_group_norm_fusion,backend.optimization_config.disable_packed_kv,backend.auto_optimization,backend.auto_optimization_config.for_gpu,backend.quantization,backend.quantization_config.is_static,backend.quantization_config.format,backend.quantization_config.mode,backend.quantization_config.activations_dtype,backend.quantization_config.activations_symmetric,backend.quantization_config.weights_dtype,backend.quantization_config.weights_symmetric,backend.quantization_config.per_channel,backend.quantization_config.reduce_range,backend.quantization_config.operators_to_quantize,backend.auto_quantization,backend.auto_quantization_config.is_static,backend.auto_quantization_config.per_channel,benchmark._target_,benchmark.name,benchmark.profile,benchmark.memory,benchmark.warmup_runs,benchmark.benchmark_duration,benchmark.batch_size,benchmark.new_tokens,model,task,device,experiment_datetime,environment.optimum_version,environment.transformers_version,environment.python_version,environment.system,environment.architecture,environment.machine,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpu,environment.gpu_ram_mb,Unnamed: 0,forward.latency(s),forward.throughput(iter/s),generate.throughput(tok/s),backend.auto_quantization_config.operators_to_quantize,backend.disable_grad,backend.eval_mode,backend.bettertransformer,backend.torch_compile,backend.fp16,forward.speedup(%),generate.speedup(%)
whisper_auto_opt(O1)+auto_qnt(avx512),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O1,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,1.7,0.589,4.94,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,69.25287356321839,74.55830388692581
whisper_auto_opt(O3)+auto_qnt(arm64),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O3,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",arm64,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,1.79,0.559,4.84,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,60.63218390804601,71.02473498233215
whisper_auto_opt(O2)+auto_qnt(avx512_vnni),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O2,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512_vnni,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,1.87,0.534,4.67,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,53.448275862068996,65.01766784452296
whisper_auto_opt(O2)+auto_qnt(avx2),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O2,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx2,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.05,0.487,3.96,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,39.9425287356322,39.92932862190812
whisper_auto_opt(O2)+auto_qnt(avx512),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O2,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.06,0.486,4.85,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,39.6551724137931,71.37809187279149
whisper_auto_opt(O3)+auto_qnt(avx2),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O3,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx2,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.08,0.481,4.58,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,38.2183908045977,61.83745583038869
whisper_auto_opt(O1),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O1,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",,False,,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_10:04:36,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.1,0.475,3.39,,,,,,,36.49425287356323,19.787985865724387
whisper_auto_qnt(avx512),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_09:42:57,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.13,0.47,4.8,,,,,,,35.05747126436782,69.61130742049468
whisper_auto_opt(O3)+auto_qnt(avx512),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,O3,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_11:10:54,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.16,0.462,3.96,"['Gather', 'Transpose', 'EmbedLayerNormalization', 'Attention', 'LSTM', 'ArgMax', 'Gemm', 'MatMul', 'Add', 'Mul', 'Relu', 'Clip', 'LeakyRelu', 'Sigmoid', 'MaxPool', 'GlobalAveragePool', 'Split', 'Pad', 'Reshape', 'Squeeze', 'Unsqueeze', 'Resize', 'AveragePool', 'Concat', 'Softmax', 'Where', 'ConvTranspose', 'InstanceNormalization']",,,,,,32.75862068965518,39.92932862190812
whisper_auto_qnt(avx512_vnni),src.backend.onnxruntime.ORTBackend,onnxruntime,1.15.0,CPUExecutionProvider,False,False,,,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,,False,False,False,QOperator,IntegerOps,QUInt8,False,QInt8,True,False,False,"['MatMul', 'Add']",avx512_vnni,False,False,src.benchmark.inference.InferenceBenchmark,inference,False,False,10,10,1,10,openai/whisper-base,automatic-speech-recognition,cpu,2023-06-07_09:42:57,1.8.7.dev0,4.29.2,3.10.11,Linux,64bit,x86_64,x86_64,2,12982,CUDA not available,CUDA not available,0,2.17,0.462,3.91,,,,,,,32.75862068965518,38.16254416961131
